family_key,brand_key,primary_category_key,name,slug,description,source_evidence,notes
"expo-table","tiger-pingpong","tables","Expo Table","expo-table","Expo outdoor table family.","Expo Outdoor table source URL and business SKU correction.","Expo Indoor was removed from the current catalog; Expo Outdoor keeps grey and blue variants only."
"portland-table","tiger-pingpong","tables","Portland Table","portland-table","Portland indoor and outdoor table family.","Portland Indoor and Portland Outdoor source URLs plus business SKU corrections.","Portland Indoor is current with grey and green variants. Portland Outdoor current V2 variants are active; legacy V1 variants are preserved as deferred."
"whistler-table","tiger-pingpong","tables","Whistler Table","whistler-table","Whistler indoor table family.","Whistler Indoor table source URL and business SKU correction.","Green and blue variants are current."
"plaza-table","tiger-pingpong","tables","Plaza Table","plaza-table","Plaza outdoor table family.","Plaza Outdoor table source URL and business SKU correction.","Single grey outdoor table found."
"premium-3-star-balls","tiger-pingpong","balls","Premium 3-Star Balls","premium-3-star-balls","Tiger PingPong premium ball family.","6-pack orange, 6-pack white, and 140-pack white/orange source URLs plus business SKU corrections.","Pack size and color variants are now mapped with corrected SKUs."
"vice-paddle","tiger-pingpong","paddles","Vice Paddle","vice-paddle","Vice paddle family.","Vice Ping Pong Paddle source URL and business SKU correction.","SKU resolved; size placeholder removed."
"aqua-paddles","tiger-pingpong","paddles","Aqua Paddles","aqua-paddles","Aqua outdoor paddle products.","Business catalog correction supplied current Aqua product names and SKUs.","Source URLs, prices, and media require review because these products were not present in the scrape manifest."
"table-covers","tiger-pingpong","covers","Table Covers","table-covers","Protective table cover family.","Ping Pong Table Cover source URL and business SKU correction.","Duplicate scrape row resolved to one reviewed product."
"net-sets","tiger-pingpong","nets","Net Sets","net-sets","Public net and post set family.","Table Tennis Net & Post Set source URL and business SKU correction.","SKU resolved; public checkout remains subject to global checkout policy review."
"replacement-nets","tiger-pingpong","replacement-parts","Replacement Nets","replacement-nets","Replacement net family preserved for future review.","Replacement Net and Tiger PingPong Table Net Replacement Set source URLs plus business SKU corrections.","Deferred from v1 public navigation and checkout."
