entity_type,entity_key,source_url,flag,severity,resolution_owner,resolution_status,notes
"product","tiger-table-cover-black-polyester","https://tigerpingpong.ca/accessories/ping-pong-table-cover","duplicate_source_url","medium","content","resolved","Duplicate table-cover scrape row resolved; only one reviewed product and one redirect row are included."
"product","tiger-table-net-replacement-set","https://tigerpingpong.ca/accessories/tiger-pingpong-table-net-replacement-set","replacement_part_deferred","info","business","deferred","Replacement Part SKU resolved as 15875, but product remains excluded from v1 public navigation and checkout."
"product","tiger-replacement-net","https://tigerpingpong.ca/accessories/replacement-net","replacement_part_deferred","info","business","deferred","Replacement Part SKU 8367 preserved for future review, excluded from v1 public navigation and checkout."
"product","tiger-plaza-outdoor-table-grey","https://tigerpingpong.ca/tables/plaza-outdoor-ping-pong-table-grey","table_shipping_policy_required","blocker","business","open","Confirm freight, curbside delivery, tax, regional, and shipping policy before public checkout."
"product","tiger-whistler-indoor-table","https://tigerpingpong.ca/tables/whistler-indoor-ping-pong-table-in-green-blue","table_shipping_policy_required","blocker","business","open","Confirm freight, curbside delivery, tax, regional, and shipping policy before public checkout."
"product","tiger-portland-indoor-table","https://tigerpingpong.ca/tables/portland-indoor-ping-pong-table-grey-green-blue","table_shipping_policy_required","blocker","business","open","Confirm freight, curbside delivery, tax, regional, and shipping policy before public checkout."
"product","tiger-expo-outdoor-table","https://tigerpingpong.ca/tables/expo-outdoor-ping-pong-table-grey-green-blue","table_shipping_policy_required","blocker","business","open","Confirm freight, curbside delivery, tax, regional, and shipping policy before public checkout."
"product","tiger-portland-outdoor-table","https://tigerpingpong.ca/tables/portland-outdoor-ping-pong-table-grey-blue","table_shipping_policy_required","blocker","business","open","Confirm freight, curbside delivery, tax, regional, and shipping policy before public checkout for current V2 variants."
"product","tiger-portland-outdoor-table","https://tigerpingpong.ca/tables/portland-outdoor-ping-pong-table-grey-blue","future_v2_deferred","medium","business","deferred","Legacy V1 grey SKU 15223 and blue SKU 15222 are preserved as inactive/deferred variant rows, not current online checkout."
"family","aqua-paddles","","price_review_required","high","business","resolved","Aqua prices confirmed by business: 4 Pack 8000, 2 Pack 4500, Single Coral 2500, Single Ocean Blue 2500."
"family","aqua-paddles","https://tigerpingpong.ca/paddles/aqua-outdoor-indoor-paddle","source_url_review_required","medium","content","open","Current Aqua parent source URL verified from the live legacy page. Four old package URL candidates remain draft redirect candidates only and still need URL/redirect review before approval."
"media","all-product-media-v1","","cloudinary_upload_required","high","media","open","Media rows keep BigCommerce URLs as source_url only where Cloudinary uploads have not been completed. Aqua now has current legacy gallery source rows, with Cloudinary upload still deferred."
"resource_article","resources-articles-v1","https://tigerpingpong.ca/resources","resource_article_crawl_required","medium","content","open","Resource article URLs were discovered but not crawled in the capped scrape."
"product","all-v1-checkout-candidates","","checkout_policy_required","blocker","business","open","Confirm checkout policy for table freight, tax, regional restrictions, and launch checkout behavior before import. Net & Post checkout readiness is confirmed."
"product","tiger-pingpong-replacement-part-40","https://tigerpingpong.ca/replacement-parts/tiger-pingpong-replacement-part-40","part_40_commerce_approved","info","business","resolved","Owner approved Part 40 for online checkout at 700 CAD cents with SKU 8123, selected Expo and Portland fit guidance, no fit selector, and no quantity discount."
"variant","tiger-vice-package-4-pack-6-white-balls","https://tigerpingpong.ca/accessories/vice-ping-pong-paddle","owner_sku_required","blocker","business","open","Owner or operations must assign the exact Vice four-paddle/six-white-ball bundle SKU. The reviewed variant stays inactive and deployed imports stay blocked for this record; never invent a placeholder SKU."
