source_path,status,notes
"20251231_095906 (1).jpg",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/01.jpg",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/02.jpg",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/06.jpg",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/premium-01.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/premium-2.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/premium-6pc-01.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/premium-6pc-02.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/premium-6pc-03.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/premium-6pc-04.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Balls/premium-6pc-05.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/expo_outdoor-04.jpg",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Hero/58654574986__73ED9220-2A41-49C7-80A7-51C8FAB00709.JPG",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Hero/Screen Shot 2022-02-02 at 2.52.40 PM.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Photos/58654574986__73ED9220-2A41-49C7-80A7-51C8FAB00709.JPG",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Photos/IMG_1274.HEIC",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Photos/IMG_3464.JPG",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Photos/IMG_3467.JPG",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Photos/IMG_3469.JPG",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Photos/IMG_3652 (1).JPG",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Product Image/03.jpg",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Product Image/expo_outdoor-01.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Product Image/expo_outdoor-02.png",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Product Image/expo_outdoor-03.jpg",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
"Expo Outdoor/Product Image/expo_outdoor-04.jpg",not_selected,"Retained locally; not an exact feature match selected in this implementation pass."
