legacy_path,new_path_candidate,entity_type,entity_key,redirect_status,notes
"/paddles/aqua-outdoor-indoor-paddle","/catalog/products/tiger-aqua-outdoor-indoor-paddle","product","tiger-aqua-outdoor-indoor-paddle","approved","Direct permanent launch redirect to the consolidated Aqua product."
"/accessories/aqua-single-coral","/catalog/products/tiger-aqua-outdoor-indoor-paddle","product","tiger-aqua-outdoor-indoor-paddle","approved","Archived package URL consolidates into the Aqua product and option selector."
"/accessories/aqua-single-ocean-blue","/catalog/products/tiger-aqua-outdoor-indoor-paddle","product","tiger-aqua-outdoor-indoor-paddle","approved","Archived package URL consolidates into the Aqua product and option selector."
"/accessories/aqua-outdoor-paddle-pack-2-pack","/catalog/products/tiger-aqua-outdoor-indoor-paddle","product","tiger-aqua-outdoor-indoor-paddle","approved","Archived package URL consolidates into the Aqua product and option selector."
"/accessories/aqua-outdoor-paddle-pack-4-pack","/catalog/products/tiger-aqua-outdoor-indoor-paddle","product","tiger-aqua-outdoor-indoor-paddle","approved","Archived package URL consolidates into the Aqua product and option selector."
"/accessories/table-tennis-net-post-set","/catalog/products/tiger-net-post-set","product","tiger-net-post-set","approved","Direct permanent launch redirect to the current net and post set."
"/tables/expo-outdoor-ping-pong-table-grey-green-blue","/catalog/products/tiger-expo-outdoor-table","product","tiger-expo-outdoor-table","approved","Direct permanent launch redirect to the current Expo product."
"/tables/plaza-outdoor-ping-pong-table-grey","/catalog/products/tiger-plaza-outdoor-table-grey","product","tiger-plaza-outdoor-table-grey","approved","Direct permanent launch redirect to the current Plaza product."
"/tables/portland-indoor-ping-pong-table-grey-green-blue","/catalog/products/tiger-portland-indoor-table","product","tiger-portland-indoor-table","approved","Direct permanent launch redirect to the current Portland Indoor product."
"/tables/portland-outdoor-ping-pong-table-grey-blue","/catalog/products/tiger-portland-outdoor-table","product","tiger-portland-outdoor-table","approved","Direct permanent launch redirect to the current Portland Outdoor product."
"/accessories/ping-pong-balls-premium-3-star-140-balls-white-orange","/catalog/products/tiger-premium-balls-140","product","tiger-premium-balls-140","approved","Direct permanent launch redirect to the current 140-pack product."
"/accessories/ping-pong-balls-premium-3-star-6-balls-orange","/catalog/products/tiger-premium-balls-6-orange","product","tiger-premium-balls-6-orange","approved","Direct permanent launch redirect to the current orange six-pack product."
"/accessories/ping-pong-balls-premium-3-star-white","/catalog/products/tiger-premium-balls-6-white","product","tiger-premium-balls-6-white","approved","Direct permanent launch redirect to the current white six-pack product."
"/accessories/ping-pong-table-cover","/catalog/products/tiger-table-cover-black-polyester","product","tiger-table-cover-black-polyester","approved","Duplicate cover URL consolidates into the current table cover product."
"/accessories/premium-table-cover","/catalog/products/tiger-table-cover-black-polyester","product","tiger-table-cover-black-polyester","approved","Duplicate cover URL consolidates into the current table cover product."
"/accessories/vice-ping-pong-paddle","/catalog/products/tiger-vice-paddle","product","tiger-vice-paddle","approved","Direct permanent launch redirect to the current Vice paddle."
"/tables/whistler-indoor-ping-pong-table-in-green-blue","/catalog/products/tiger-whistler-indoor-table","product","tiger-whistler-indoor-table","approved","Direct permanent launch redirect to the current Whistler product."
"/tables/expo-indoor-ping-pong-table-grey-green-blue","/tables/indoor-tables","category","indoor-tables","approved","Discontinued legacy product maps to the closest useful indoor-table category."
"/replacement-parts/tiger-pingpong-replacement-part-40","/replacement-parts#part-40","static_page","replacement-part-40","approved","Direct permanent launch redirect to the Part 40 section."
"/accessories/replacement-net","/replacement-parts#standard-replacement-net","product","tiger-replacement-net","approved","Direct permanent redirect to the standard replacement-net card on the dedicated support hub."
"/accessories/tiger-pingpong-table-net-replacement-set","/replacement-parts#expo-portland-net-upgrade","product","tiger-table-net-replacement-set","approved","Direct permanent redirect to the Expo and Portland upgrade-system card on the dedicated support hub."
"/accessories/ping-pong-paddle-case","/accessories/paddles","category","paddles","approved","Discontinued product maps to the closest useful paddle category."
"/accessories/newgy-table-tennis-balls-orange","/accessories/ping-pong-balls","category","balls","approved","Discontinued product maps to the closest useful ball category."
"/brands","/catalog","static_page","catalog","approved","Retired brand index maps to the complete catalog."
"/tiger-pingpong","/catalog","static_page","catalog","approved","Retired Tiger brand page maps to the complete catalog."
"/xmlsitemap.php","/sitemap.xml","static_page","sitemap","approved","All query variants are stripped and redirected directly to the canonical sitemap."
"/sitemap.php","/sitemap.xml","static_page","sitemap","approved","Legacy sitemap alias redirects directly to the canonical sitemap."
"/shipping","/shipping-returns","static_page","shipping-returns","approved","Consolidates duplicate shipping content into the canonical policy route."
